"label","visited","lat","lon","elevation","wikipedia"
"maar du gour de Tazenat",,"45.98","2.991",713,"https://fr.wikipedia.org/wiki/Gour_de_Tazenat"
"puy de Montiroir",,"45.970228","2.926483",695,"https://fr.wikipedia.org/wiki/Puy_de_Montiroir"
"puy de Chalard",,"45.958914","2.974269",840,"https://fr.wikipedia.org/wiki/Puy_de_Chalard"
"suc de Beaunit",,"45.901856","2.967378",784,
"puy de Monceau",,"45.90021","2.985342",,
"puy de Verrières",,"45.891909","2.955256",937,
"puy du Thiolet",,"45.891749","2.962526",,
"puy de Champ Valleix",,"45.892127","2.991582",,
"puy de Pradet",,"45.882374","2.95975",,
"puy de Paugnat",,"45.88028","2.9778",898,"https://fr.wikipedia.org/wiki/Puy_de_Paugnat"
"puy de la Bannière",,"45.87889","3.03361",733,"https://fr.wikipedia.org/wiki/Puy_de_la_Banni%C3%A8re"
"puy la Baneyre",,"45.877406","2.955987",970,
"puy des Marais",,"45.874235","2.975806",805,
"puy de la Gouly",,"45.873165","2.960215",944,
"puy de l'Espinasse",,"45.869897","2.955404",952,
"suc de la Louve",,"45.867323","2.988003",,
"puy de Tressous",,"45.864629","2.952",983,
"puy de la Nugère",,"45.86193","2.983496",988,"https://fr.wikipedia.org/wiki/Puy_de_la_Nug%C3%A8re"
"puy de Ténuzet",1,"45.855861","2.964231",1056,
"puy de Louchadière",1,"45.85306","2.95083",1198,"https://fr.wikipedia.org/wiki/Puy_de_Louchadi%C3%A8re"
"puy de Jume ",1,"45.84667","2.96556",1161,"https://fr.wikipedia.org/wiki/Puy_de_Jume"
"puy de la Coquille",1,"45.84194","2.96222",1152,"https://fr.wikipedia.org/wiki/Puy_de_la_Coquille"
"puy de Clermont",,"45.835027","2.957109",1068,
"puy des Gouttes",,"45.824676","2.953742",1134,"https://fr.wikipedia.org/wiki/Puys_Chopine_et_des_Gouttes"
"puy Chopine",,"45.827887","2.955008",1181,"https://fr.wikipedia.org/wiki/Puys_Chopine_et_des_Gouttes"
"puy de Chaumont",,"45.82444","2.96972",1111,"https://fr.wikipedia.org/wiki/Puy_de_Chaumont"
"Petit Sarcoui",,"45.819218","2.98358",1068,
"puy de Lemptégy",,"45.819446","2.946074",970,"https://fr.wikipedia.org/wiki/Puy_de_Lempt%C3%A9gy"
"Grand Sarcoui",1,"45.8145","2.9822",1147,"https://fr.wikipedia.org/wiki/Grand_Sarcouy"
"Croix Mory",,"45.813151","2.968943",1011,
"puy des Goules",1,"45.809489","2.980589",1146,"https://fr.wikipedia.org/wiki/Puy_des_Goules"
"puy de Fraisse",,"45.80472","2.9625",1120,"https://fr.wikipedia.org/wiki/Puy_de_Fraisse"
"puy de Côme",,"45.796483","2.943317",1253,"https://fr.wikipedia.org/wiki/Puy_de_C%C3%B4me"
"puy Pariou",1,"45.795462","2.970257",1209,"https://fr.wikipedia.org/wiki/Puy_Pariou"
"Cliersou",1,"45.79472","2.95972",1197,"https://fr.wikipedia.org/wiki/Puy_de_Clierzou"
"Grand Suchet",,"45.79056","2.95528",1231,"https://fr.wikipedia.org/wiki/Grand_Suchet"
"Petit Suchet",,"45.79","2.96139",1198,"https://fr.wikipedia.org/wiki/Petit_Suchet"
"puy Balmet",,"45.788017","2.939994",1075,
"puy Fillu",,"45.783725","2.942419",1078,
"puy Plantas",,"45.781963","3.005692",,
"puy de Gorce",,"45.780691","2.926994",,
"Petit puy de Dôme",,"45.778167","2.968931",1264,
"puy de Couleyras",,"45.774813","2.989062",,
"puy de Dôme",1,"45.772515","2.964141",1464,"https://fr.wikipedia.org/wiki/Puy_de_D%C3%B4me"
"Petit Sault",,"45.768705","2.944133",1028,
"Grand Sault",,"45.766658","2.946943",1072,
"puy de Besace",1,"45.760897","2.946929",1112,
"puy des Grosmanaux",1,"45.7575","2.95389",1127,"https://fr.wikipedia.org/wiki/Puy_des_Grosmanaux"
"puy de Salomon",1,"45.75417","2.94833",1152,"https://fr.wikipedia.org/wiki/Puy_de_Salomon"
"puy de Gravenoire",1,"45.751673","3.049371",822,"https://fr.wikipedia.org/wiki/Puy_de_Gravenoire"
"puy de Monchier",1,"45.7472","2.94889",1210,"https://fr.wikipedia.org/wiki/Puy_de_Monchier"
"puys de Barme",,"45.73812","2.931161",1102,
"puy de la Moréno",1,"45.737588","2.945159",1161,
"puy de Laschamps",1,"45.734432","2.951991",1255,
"puy de Montchar",1,"45.733411","2.944168",1182,
"puy de Beaune",1,"45.729983","2.949029",1203,
"puy Pelat",1,"45.725858","2.949236",1208,
"puy de Cocuset",,"45.720276","2.949403",1094,
"puy de Mercœur",1,"45.71639","2.95583",1249,"https://fr.wikipedia.org/wiki/Puy_de_Merc%C5%93ur"
"puy de Monteillet",,"45.7138","2.941018",1086,
"puy de la Mey",1,"45.71056","2.96361",1136,"https://fr.wikipedia.org/wiki/Puy_de_la_Mey"
"puy de la Vache ",1,"45.705385","2.963347",1167,"https://fr.wikipedia.org/wiki/Puy_de_la_Vache"
"puy de Lassolas",1,"45.710877","2.958198",1187,"https://fr.wikipedia.org/wiki/Puy_de_Lassolas"
"puy de Pourcharet",,"45.70917","2.93167",1164,"https://fr.wikipedia.org/wiki/Puy_de_Pourcharet"
"puy de Montjuger",,"45.70528","2.94333",1142,"https://fr.wikipedia.org/wiki/Puy_de_Montjuger"
"puy de Montgy",,"45.7","2.93278",1131,"https://fr.wikipedia.org/wiki/Puy_de_Montgy"
"Fallateuf",,"45.697185","2.971036",1016,
"puy de Montchal",,"45.6925","2.94389",1094,"https://fr.wikipedia.org/wiki/Puy_de_Montchal_(Aydat)"
"puy de Vichatel",,"45.68639","2.96083",1094,"https://fr.wikipedia.org/wiki/Puy_de_Vichatel"
"puy de la Toupe",,"45.6825","2.94389",1074,"https://fr.wikipedia.org/wiki/Puy_de_la_Toupe"
"puy de Charmont",,"45.67722","2.96139",1138,"https://fr.wikipedia.org/wiki/Puy_de_Charmont"
"puy de Boursoux",,"45.672277","2.946592",1057,
"puy de la Combegrasse",,"45.66806","2.94806",1120,"https://fr.wikipedia.org/wiki/Puy_de_la_Combegrasse"
"puy de la Rodde",,"45.6625","2.955",1127,"https://fr.wikipedia.org/wiki/Puy_de_la_Rodde"
"puy de l'Enfer",1,"45.65792","2.928509",1086,
"maar de la narse d'Espinasse",1,"45.654091","2.927003",986,
"puy de Monténard",1,"45.63583","2.9325",1173,"https://fr.wikipedia.org/wiki/Puy_de_Mont%C3%A9nard"
